Item Name,Rate
Anti-Phospholipid Ab,1800
Anti-Rubella IgG,1200
Anti-Rubella IgM,1200
Anti-TB IgA,1200
"Anti-TB IgA, IgG, IgM",1200
Anti-TB IgG (ICT),1100
Anti-TB IgM (ICT),1100
Anti-TG (Anti Thyroglobulin Ab),1200
Anti-TPO (Anti Thyroid Peroxidase Ab),1200
Anti-Thyroid Antibody,2500
Anti-ds DNA Ab,1500
Beta-HCG,1200
C-ANCA,1200
C-Peptide,1500
C3 (Completent 3),1200
C4 (Completent 4),1200
CA-125,1200
CEA,1200
CMV IgG Avidity,1200
Cancer Antigen (CA -15.3),1400
Cancer Antigen (CA-19.9),1200
Cortisol (Evening 4:00 pm - 6:00 pm),1100
Cortisol (Morning 7:00 am - 9:00 am),1100
Cytomegalo Virus (CMV) IgG,1200
Cytomegalo Virus (CMV) IgG & IgM,1200
Cytomegalo Virus (CMV) IgM,1200
ENA Profile,8000
Estradiol/Oestrogen,1200
FSH,1200
FT3,1200
FT4,1200
Faecal Calprotectin,5000
Free PSA,1200
Free Testosterone,1600
Growth Hormone,1200
HAV IgM,1200
HBe Ag,1200
HBs Ag (ELISA),1000
HIV I & II (ELISA),1200
Herpes Simplex Virus I IgG,1200
Herpes Simplex Virus I IgM,1200
Herpes Simplex Virus II IgG,1200
Herpes Simplex Virus II IgM,1200
High Sensitive Troponin-I,1200
Homocysteine,3000
ICT for Kalazar,1000
IgE Total,1200
Interleukin - 6 ( IL- 6 ),2000
LH FSH Ratio,2400
Lupus Anticoagulant Ab,5000
Luteinizing Hormone (LH),1200
Micro-Filaria,1100
Mumps Virus Ab IGG & IGM,5500
NT-Pro BNP,3000
P-ANCA,1200
PSA,1400
Parathyroid Hormone (PTH),1500
Pro BNP,3000
Procalcitonin (PCT),2000
Progesterone,1200
Prolactin,1200
Pus for GeneXpert,5000
QuantiFERON-TB Gold Plus,8000
Renin (Direct),2500
Rubella / Measles IgG and IgM,5800
Rubella IgG,3000
Rubella IgM,3000
S. IgG for H.pylori,1200
S. IgM for H.pylori,1700
S.Ferritin,1200
Serum ACE Level ( Serum Angiotensin Converting Enzyme),3800
Serum IgA Level,1000
Serum IgA Level,1100
Serum IgG Level,1100
Serum IgM Level,1100
Sputum For MTB Genexpert,5000
Stool for H. Pylori Antigen,1400
T3,1000
T4,1000
TSH Receptor Antibody (TRAb),5250
"TSH, FT3, FT4",3400
Testosterone,1300
Thyroglobulin (TG),3000
Thyroid Stimulating Hormone (TSH),1000
Torch Panel,7000
Toxoplasma IgG,1200
Toxoplasma IgM,1200
Troponin I (cTnI),1100
Vitamin A,8000
Vitamin B-12,2500
Vitamin E,5500
AFB STAINING / AFB GRAM STAINING,400
Ascitic Fluid for C/S,1000
Ascitic Fluid for Gram Stain,500
Blood for C/S (FAN),1800
CSF for AFB,400
CSF for C/S,1000
CSF for Gram Stain,400
Cervical Swab for Gram Stain,400
Conjunctival Swab for C/S (Lt./Rt.),700
Conjunctival swab for Gram Stain Lt/Rt,400
Ear Swab C/S,700
Ear swab for Culture Gram Stain (Lt/Rt),400
Fluid for Fungus Culture,1000
Fungus M/E,400
Gram's Stain,400
Grams Stain for PUS/ Wound / Fluid,600
HVS for AFB,500
HVS for C/S,1000
HVS for Fungus Culture,1000
HVS for Gram Stain,400
Mantoux Test/MT Test,500
Nail Scraping for Fungus Culture,500
Nail Scrapings for R/M/E,400
Nipple for gram stain,500
Oral Swab for C/S,1000
Oral Swab for R/M/E,400
Pericardial Fluid for AFB,400
Pericardial Fluid for C/S,1000
Pericardial Fluid for Gram Stain,400
Peritoneal Fluid for AFB,400
Peritoneal Fluid for C/S,1000
Peritoneal Fluid for Gram Stain,400
Pleural Fluid for AFB,400
Pleural Fluid for C/S,1000
Pleural Fluid for Gram Stain,400
Prostatic Smear AFB,400
Prostatic Smear for C/S,700
Prostatic Smear for Gram Stain,400
Pus for AFB,500
Pus for C/S,1100
S. A/G Ratio,900
Semen for C/S,700
Skin Scraping for Fungus Culture,900
Skin Scrapings for fungus,500
Sputum for AFB,500
Sputum for C/S,1100
Sputum for Gram Stain,500
Stool for C/S,900
Synovial Fluid for C/S,700
Throat Swab For R/M/E,400
Throat Swab for C/S,1100
Throat Swab for Gram Stain,450
Tracheal Aspirate for AFB,400
Tracheal Aspirate for Gram Stain,400
Umbilical Swab for C/S,1000
Umbilical Swab for Gram Stain,400
Urethral Discharge for AFB,400
Urethral Discharge for C/S,500
Urethral Discharge for Gram Stain,400
Urine for AFB,400
Urine for C/S,750
Vaginal Discharge/ swab for Fungus Culture,700
Vaginal Swab for C/S,1100
Vaginal Swab for Fungus,500
Vaginal Swab for Gram Stain,500
Vaginal Swab for R/M/E,400
Wound Swab for C/S,1100
Wound Swab for Gram Stain,500
HCV Genotyping,12500
HCV-RNA (Quantitative),12000
HLA-A Typing (DNA based),9000
HLA-B Typing (DNA based),8000
HLA-B27 Genotyping,4000
HLA-DR Typing (DNA Based),9000
HPV-DNA Array Genotyping,6000
Hepatitis B Virus (HBV DNA) Quantitative,8000
JAK2 Mutation Detection,9500
ASO Titre,700
Anti Sperm Anti Body,1000
Anti-HCV (ICT),1000
Blood Grouping and Rh Factor,300
CRP (C-Reactive Protein),600
Chikungunya IgG (ICT),1200
"Chikungunya IgG,IgM (ICT)",1200
Chikungunya IgM (ICT),1200
Dengue Antibody IgM IgG (ICT),300
Dengue NS1Ag (ICT),300
Echinococcus Ab (IHA),2200
Epstein-Barr Virus (EBV) IgG,3000
Epstein-Barr Virus (EBV) IgM,3000
Febrile Antigen/ Triple Antigen,1200
Filaria (ICT),1000
HBsAg (ICT),450
HIV (ICT),1000
Malaria (ICT),1100
RA /RF Test,600
Rh-Antibody Titre,800
Rose Waaler Test,500
Salmonella Typhi IgM IgG (ICT),2200
Sex Hormone Binding Globulin (SHBG),1200
TPHA (ICT),800
TPHA - Treponema Pallidum Haemagglutination (Q & Q),1400
Urine for Pregnancy Test (ICT),200
VDRL,600
VDRL(Q&Q),1200
Widal Test,500
CMV IGG Avidity II,0
vWF (von Willebrand Factor),8000
Coomb's Test,700
Coomb's Test (Direct),700
CT Guided FNAC,3000
"FOL, Fibre optic laryngoscopy",2000
USG of External Genitalia,2000
DOPPLER STUDY OF TESTIS & SCROTAL VESSELS,3500
DUPLEX STUDY OF BOTH UPPER LIMB VESSLES,3000
DUPLEX STUDY OF LOWER LIMB VESSELS RT/LT,2000
DUPLEX STUDY OF RENAL VESSELS TO EXCLUDE RAS,4000
Duplex study of abdominal aorta,4000
Duplex study of all limbs,5000
Duplex study of both lower limbs,3000
Duplex study of carotid vessels,3500
Duplex study of lower limb RT/LT,2000
Duplex study of neck vessels,3500
Duplex study of penis,3700
Duplex study of upper limb RT/LT,2000
TVS (Color Doppler),2500
TVS (Tansvaginal ultrasound),2000
TVS Folliculometry,2500
USG CHEST,1600
USG KUB & LOWER ABDOMEN,1800
USG LOWER ABDOMEN,1600
USG LOWER ABDOMEN WITH PVR & MCC,1600
USG OF BREAST (BOTH SIDE) COLOR,2500
USG OF ANOMALY SCAN,3000
USG OF BOTH KNEE JOINT (LT/RT/ BOTH),1800
USG OF BRAIN,2000
USG OF HBS,1200
USG OF KUB WITH PVR,1200
USG OF LT. UPPER THIGH,2000
USG OF PENIS,2000
USG OF PREGNANCY PROFILE,1500
USG OF PREGNANCY PROFILE (4D),1800
USG OF PREGNANCY PROFILE (COLOR DOPPLER STUDY),3000
USG OF SCROTUM,1800
USG OF SWELLING/ LUMP,3000
USG OF WHOLE ABDOMEN,1800
USG OF WHOLE ABDOMEN with PVR,1800
USG Of Inguinal Region,1500
USG Of Left Elbow Swelling,1800
USG Of Right Elbow Swelling,1800
USG Of Right shoulder,1800
USG PAROTID REGION (LT/RT/BOTH),2500
USG Urinary System (urethra/urethral meatus),1300
USG of Breast (Single) Color,1700
USG of Testis,1400
USG of Upper Abdomen,1600
USG of Elbow Swelling Both,1800
USG of KUB with Pelvis,1700
USG of Knee LT,2100
USG of Knee RT,2100
USG of L/A with Pregnancy Profile,1800
USG of LT Breast,2000
USG of LT Thigh,700
USG of Lower Abdomen (L/A),1600
USG of NECK,1800
